GeneID	GSM1261105	GSM1261106	GSM1261107	GSM1261108	GSM1261109	GSM1261110	GSM1261111	GSM1261112
100287102	10	10	7	17	8	14	32	6
653635	815	1074	468	626	399	498	1240	771
102466751	9	18	3	5	2	4	29	5
107985730	11	22	11	8	5	12	34	18
100302278	0	3	1	1	0	1	1	1
645520	0	0	0	0	0	1	1	0
79501	0	0	0	0	0	0	0	0
100996442	62	67	59	49	29	48	55	47
729737	289	370	211	280	148	166	463	172
102725121	4	8	5	17	7	12	27	3
102723897	837	1221	488	712	448	547	1362	773
102465909	11	18	3	5	3	4	26	4
107985721	35	90	32	25	20	41	109	62
112268260	45	22	18	10	9	22	22	20
729759	1	0	0	0	0	0	0	0
100132287	162	264	144	197	131	122	339	139
105378947	11	1	1	1	3	0	5	5
101928626	4	2	1	3	2	3	2	0
113219467	926	409	256	327	201	252	563	183
81399	6	1	1	1	1	3	2	3
100133331	178	257	148	199	140	134	303	139
107984841	33	50	25	27	18	23	64	28
107984847	49	107	39	41	28	49	87	55
107984849	3	11	6	5	3	7	15	3
100288069	41	60	32	37	28	30	47	33
105378580	72	56	31	38	36	28	90	42
400728	11	6	6	6	7	5	11	8
79854	48	279	14	13	26	26	185	33
643837	889	408	881	672	766	919	853	1124
107984850	6	4	8	6	8	4	23	9
284593	5	3	4	3	5	3	1	3
284600	340	278	233	288	222	315	447	461
100130417	133	102	150	183	75	159	126	143
107985728	150	47	216	302	71	167	115	162
148398	317	252	528	731	201	509	276	473
26155	2327	2391	2150	1763	1940	2101	2149	2239
339451	571	857	411	395	360	504	1025	514
84069	23	3	7	5	2	4	7	4
84808	2	4	3	2	1	2	4	2
57801	1347	3600	1107	653	1005	1772	2397	2034
9636	198	284	141	159	160	175	300	214
375790	11675	10611	12686	9109	7833	10513	14424	10825
100288175	17	6	34	12	10	10	19	25
112267874	21	7	20	5	5	16	13	6
105378948	45	36	43	26	11	25	89	29
401934	2	1	0	0	1	1	2	3
54991	369	213	252	227	200	238	284	246
254099	0	0	0	0	0	1	0	0
406984	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0
100506376	9	1	6	1	10	15	4	5
254173	7	6	10	3	9	12	1	2
8784	2	2	5	2	1	2	5	1
7293	3	10	0	2	1	0	9	1
51150	3083	2802	2686	3133	2223	2539	3248	3228
126792	1080	139	1088	1082	1082	1002	426	1379
388581	30	194	17	27	21	34	211	49
118424	1293	776	1248	1175	1102	1253	1144	1771
101928895	104	93	67	91	65	78	175	57
6339	318	219	171	203	187	177	437	183
116983	3057	5120	2384	1833	2000	2560	6905	2925
102465434	1	1	0	0	0	0	1	1
109623456	9	13	5	5	3	6	10	3
126789	266	390	251	201	225	239	375	475
54973	2163	2697	1625	1622	1461	1809	2370	2161
102465435	4	1	4	3	2	6	5	4
80772	647	228	721	718	647	681	568	902
83756	64	56	67	30	65	90	71	88
1855	1829	2472	1666	1722	1524	1702	2796	2278
102466740	4	6	3	4	3	2	5	0
54587	301	409	420	1588	144	199	283	244
54998	1035	872	1049	950	1056	1025	902	1829
81669	5686	4781	2016	2503	2126	3125	4929	2399
148413	566	308	502	397	509	540	402	727
55052	998	631	947	969	904	1025	785	1529
107984868	73	8	15	41	26	21	10	26
441869	34	29	14	16	13	24	51	22
105378585	5	7	2	1	0	3	8	2
643965	5	4	1	4	2	3	3	1
102724312	9	3	8	23	8	10	3	1
107985729	11	4	4	14	5	6	4	6
64856	542	132	509	881	310	338	210	443
219293	91	106	59	60	62	76	103	92
83858	853	1068	432	475	394	576	942	704
55210	856	815	777	673	714	835	729	1179
339453	211	225	199	176	220	243	327	215
29101	2146	2736	1993	2031	2039	2009	2596	3291
643988	322	84	510	555	338	366	258	457
105378586	24	11	54	30	22	24	17	31
142678	2562	2749	2066	1743	2074	2347	3606	2679
8510	89	82	62	132	47	48	77	51
984	1988	1973	1223	1225	1167	1321	1812	998
728661	8686	4350	4771	4611	5356	5794	6349	3877
8511	21	24	23	78	14	22	17	19
728642	1491	1666	824	836	742	849	1467	747
9906	4782	2916	3804	2329	3403	3156	3740	2601
112268218	122	68	80	72	80	74	89	91
65220	1585	1063	1261	1246	1048	1227	1271	1502
2782	22336	26343	23954	19832	20399	22331	29678	29558
105378949	42	38	53	32	64	60	45	33
163688	7	1	1	4	2	4	9	2
339456	20	16	38	33	19	17	12	23
85452	65	9	34	14	60	57	20	35
107984872	3	0	2	2	6	2	1	4
105378589	1	0	1	0	2	1	2	0
2563	4	3	1	5	4	4	6	11
105378590	0	0	0	0	0	0	0	0
105378591	0	0	0	0	1	0	0	1
5590	1165	1100	1342	925	1268	1257	1815	1433
100506504	136	101	100	88	111	121	167	196
199990	925	547	820	841	805	892	695	1040
112268219	107	29	63	75	64	78	80	77
105378593	4	0	0	2	1	1	3	1
6497	3020	2247	2749	3270	2013	2394	3158	2939
79906	423	257	206	179	316	329	227	316
100129534	127	40	126	72	81	123	12	113
11079	2685	1509	2404	2703	2274	2352	2201	3639
5192	1034	578	884	828	888	857	708	1208
9651	290	588	595	279	574	519	838	710
55229	1053	1219	841	796	790	981	1848	1166
388585	520	1438	339	265	462	1065	1483	1418
115110	1	6	7	2	3	3	8	11
8764	3	9	11	10	4	6	15	5
100996583	0	2	0	1	2	1	2	3
127281	1574	1097	1630	1161	1229	1414	1169	1645
79258	178	106	136	98	125	111	137	136
105378597	2	7	1	0	2	5	1	4
100287898	73	9	22	8	31	37	19	24
105378603	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	1	0
105378601	0	0	0	0	0	0	1	0
112268220	0	0	0	0	0	0	1	1
107985732	0	1	0	0	1	0	1	1
105378600	0	0	0	0	0	0	1	0
105378598	2	3	4	1	2	4	8	2
107984904	0	1	0	0	1	0	1	1
105378599	0	0	0	0	0	0	1	0
140625	0	1	0	0	0	0	0	1
440556	22	48	25	30	6	38	34	43
63976	292	466	159	313	50	383	499	352
100422968	0	0	0	0	0	0	0	0
105378606	11	3	3	2	0	5	9	8
107984909	0	20	0	2	0	2	1	1
105378605	0	1	2	0	0	0	1	0
105378604	19	2	8	3	2	8	4	6
27237	102	35	53	70	63	71	27	103
1953	698	666	845	1116	412	637	1077	439
105378608	0	1	0	0	0	0	1	1
693135	0	0	0	0	0	0	0	0
105378607	1	2	0	0	0	0	3	0
127262	808	863	704	812	783	757	920	1245
49856	558	404	418	406	366	442	515	716
7161	69	39	45	46	42	50	42	49
105378610	0	0	1	2	1	1	0	0
105378609	0	0	0	0	0	0	0	0
57212	1644	1261	1039	1162	896	1160	1561	1323
148870	21	7	19	18	8	12	11	20
388588	37	22	30	48	21	21	9	28
57470	2049	2524	2125	1860	1911	2185	2891	2968
9731	1017	729	872	817	709	751	1202	1083
1677	172	178	219	198	184	174	218	250
107984910	20	23	3	5	6	21	10	12
339448	635	855	415	559	403	426	730	714
100133612	1	0	3	1	2	1	1	4
728716	1	7	0	1	2	7	6	3
105376672	0	1	0	0	0	0	0	1
105376673	0	0	0	0	0	0	0	0
284661	1	0	0	0	0	2	0	0
105376674	0	0	0	0	0	0	0	0
105376679	0	1	0	0	0	2	0	2
107985376	0	0	0	0	0	0	0	0
55966	481	1044	581	0	293	1521	2134	1315
105376680	0	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0
105376682	1	0	0	0	0	0	0	0
107984911	0	0	0	0	0	0	1	0
105376686	0	0	0	0	0	0	2	2
100616421	0	0	0	0	0	0	1	0
261734	1085	632	612	509	582	641	737	757
8514	591	566	694	425	596	602	1157	680
26038	964	178	997	531	917	880	1300	925
105376687	0	2	0	0	0	1	3	1
6146	8253	13344	6801	10117	5801	7031	9321	10904
107985733	66	91	68	75	51	54	71	81
102724450	11	6	12	14	11	3	7	9
388591	218	121	156	267	81	95	137	115
23463	1853	657	1874	2037	1483	1672	964	2133
148645	2	1	3	3	1	2	4	5
390992	3	7	1	5	2	2	2	5
387509	1057	2234	1614	1324	1066	1681	2772	1908
11332	2136	4229	4120	1902	2868	3068	3645	4281
54626	25	17	27	79	11	34	31	12
83715	414	102	287	365	350	274	326	342
100422975	0	0	0	0	0	0	0	0
8718	427	353	192	177	142	236	548	129
57449	1968	1344	1176	926	955	1403	1860	958
79707	813	538	632	640	620	663	668	847
80835	3	11	1	3	2	3	8	1
107984912	1	1	0	0	0	0	0	0
3104	585	363	371	377	328	418	457	557
9903	487	880	443	555	328	399	799	538
107984913	27	17	22	20	28	21	31	33
148479	969	896	714	867	527	649	883	869
90326	835	928	736	665	644	747	957	1052
55735	1587	605	1476	1234	1271	1419	951	1810
100505887	0	0	0	0	0	0	0	0
110841581	12	18	11	3	11	13	12	16
23261	2451	2480	3713	1684	3007	2816	5277	3440
105376692	0	3	0	0	0	0	5	0
102725193	0	2	0	0	0	0	7	0
101928836	0	1	1	0	0	0	1	0
105376691	0	0	0	0	0	0	1	0
105376689	269	622	183	147	126	195	543	175
9341	1987	478	1067	1886	861	891	659	981
8863	521	238	445	645	388	275	472	397
10911	40	2	756	2	471	75	418	141
3604	12	0	57	16	8	1	11	9
11315	3822	3313	3940	3920	3213	3403	3417	5027
54206	2909	1451	2843	1808	1416	1692	1312	1715
107984915	0	1	0	0	0	0	0	0
102724539	1	0	0	0	0	1	3	0
105376695	0	0	0	0	0	0	0	0
50651	349	207	517	321	346	392	458	404
473	9258	5458	6612	6732	6096	6880	7645	7673
102724552	3	1	2	0	2	0	2	1
106632271	0	0	0	0	0	0	0	0
2023	90528	19652	71579	78800	68114	77419	19860	89727
102465436	2	1	4	1	1	0	0	1
100505975	14	4	17	8	8	9	6	17
112268261	9	4	8	10	8	9	9	13
765	0	0	0	0	0	1	0	1
155184	0	0	0	0	0	1	0	0
6518	24	0	15	28	18	9	8	10
80045	55	30	54	107	32	48	106	35
106614088	258	62	106	137	136	168	383	29
407040	0	2	1	2	1	2	1	0
102724571	115	35	65	64	68	65	75	13
9563	2149	827	1768	3846	936	1454	1352	1349
80176	129	258	264	624	58	117	190	128
100506022	101	4	49	59	65	63	7	56
84275	228	314	316	231	239	258	211	356
199953	943	721	1009	784	829	893	1020	1106
107985734	33	33	29	21	22	22	47	49
105376712	0	0	0	0	0	0	0	0
5293	566	712	680	372	424	435	1046	464
644997	0	0	0	0	0	0	0	0
101929074	22	17	35	24	9	10	14	14
22883	12707	11898	13395	10859	10773	12215	17007	12901
56998	1280	817	1452	1681	1023	1242	891	1573
105376717	15	8	17	19	16	17	11	14
84328	2228	1165	2244	2025	1955	1940	1642	2739
64802	466	140	303	342	337	307	236	421
113391335	4	1	4	0	1	2	1	1
100847055	0	0	0	0	0	0	0	0
116362	2	1	5	39	1	0	1	0
10277	2495	2276	1935	1999	1672	1823	2563	2378
23095	16061	13485	12896	9782	11314	12119	21123	18216
105376725	17	54	6	16	6	15	45	8
5226	6764	9655	6202	5897	5191	6509	6786	8320
100526739	239	58	185	155	179	171	75	234
378708	256	50	186	161	195	165	59	251
1325	33	35	36	19	27	24	50	34
1676	3303	2205	2552	2553	2315	2546	2505	3330
5195	1061	1138	927	822	844	921	1106	1178
54897	229	1180	602	341	299	551	748	548
105376733	0	0	0	0	0	0	0	0
105376735	0	2	0	2	0	0	1	0
148345	1	1	2	0	0	1	0	3
23435	5175	4462	3819	3570	3424	4123	5824	5399
10747	242	127	161	142	141	175	326	209
6723	1293	1159	1393	1544	1306	1268	1054	1992
5394	2169	1665	1637	1522	1391	1614	1534	2047
105376736	42	26	22	30	23	35	28	42
2475	3779	2913	2630	2569	2444	2797	2892	4476
100873935	28	25	17	24	13	22	23	28
10218	2	10	2	3	2	2	11	1
29914	828	635	769	760	670	784	756	1014
105376737	6	25	4	1	3	2	23	12
105376739	1	0	1	0	0	3	0	0
105376740	1	10	3	3	1	2	21	2
57540	735	1095	875	647	591	1012	1517	842
112268221	36	61	42	35	33	50	68	50
101929181	1	2	0	0	0	1	1	0
26232	132	171	263	155	153	152	137	162
93611	877	1524	853	710	720	837	1619	775
26270	115	109	122	183	87	95	168	105
10459	1792	1632	1296	1468	1263	1615	1547	2153
374946	2208	3144	2369	2128	2158	3540	3063	3962
57085	522	153	484	496	350	425	161	502
284498	242	152	181	203	185	199	273	328
102724659	0	0	1	0	0	0	1	2
4524	1411	886	1112	1074	1133	1188	1677	1838
1185	2097	3536	1802	1448	1862	1824	3559	2879
100379251	199	328	194	139	182	208	361	312
4878	103	71	398	186	203	273	425	315
4879	16	16	147	53	54	33	39	88
26829	1	4	0	2	5	4	1	5
90231	1478	925	1264	1665	1084	1323	1228	1647
5351	4040	2031	4262	14499	3210	3282	2014	3112
9927	4737	4734	4400	3937	3954	2619	5807	6114
60672	582	843	492	522	506	577	825	756
102466982	1	2	1	1	1	0	0	1
943	4	4	3	3	4	3	3	7
102465836	0	0	0	0	0	0	0	0
7133	8	13	5	7	3	3	6	10
100616438	0	0	0	0	0	0	0	0
107984917	0	0	0	0	0	0	0	0
55187	2281	1844	1663	2010	1635	1780	2793	2550
677885	3	25	2	2	1	1	21	1
105376744	6	5	1	3	4	3	4	5
9249	10294	8738	8771	9924	7121	10718	15425	9045
102466722	7	8	3	6	1	6	12	1
343066	0	0	1	2	1	1	0	0
126767	0	0	0	0	0	0	0	0
93190	107	12	162	18	123	176	30	142
390999	2	2	1	2	2	3	2	0
65121	0	0	0	3	1	2	0	0
105376745	0	0	0	0	0	0	0	0
440560	0	0	0	0	1	0	0	0
343069	172	318	134	133	133	130	250	215
65122	0	0	0	1	1	0	0	0
400735	0	0	0	0	1	1	0	0
343071	0	0	0	0	1	0	1	0
441871	0	0	0	0	1	2	0	0
440561	0	0	0	1	1	4	0	0
101929983	0	0	0	0	1	0	0	0
649330	1	2	0	1	1	1	2	3
441873	0	0	0	0	0	0	0	0
649324	0	0	0	0	4	0	0	0
440563	117	225	97	92	92	93	179	157
645354	0	0	0	0	3	0	0	0
645359	0	0	0	0	0	0	0	0
101060301	2	1	0	1	2	0	2	3
343070	0	0	0	0	0	1	0	0
400736	0	0	0	0	1	1	0	0
391003	0	0	1	0	0	0	0	0
343068	0	0	0	1	1	1	0	0
391002	0	0	0	0	1	2	0	0
645382	0	0	0	0	1	0	0	0
653619	0	0	0	0	1	0	0	0
729528	0	0	0	2	2	2	0	0
645414	0	0	0	0	0	1	1	0
391004	1	0	0	0	0	0	0	0
645425	0	0	0	0	0	1	0	0
126755	0	7	8	0	6	2	5	5
102724856	0	0	0	0	0	0	0	0
107984918	0	0	1	0	0	0	0	0
10630	3013	2581	3910	1995	3052	3895	2993	4673
107984919	21	74	22	6	22	22	42	19
105378612	0	4	1	0	2	1	4	1
105376756	1	0	1	0	0	0	0	0
7799	2343	1736	2422	1852	2012	2295	2478	3075
23254	1262	1215	1919	1145	1500	1506	1304	1431
107985467	1	0	0	0	0	0	3	1
107985468	0	1	0	1	0	0	0	0
105376762	0	0	2	0	0	0	0	0
105376759	6	10	0	3	1	1	5	2
107985469	3	9	3	5	7	4	1	14
200197	206	74	321	212	226	243	92	240
55092	91	38	100	263	50	55	92	67
727684	0	0	0	0	0	0	2	0
114827	367	27	90	59	172	124	29	127
101927417	28	3	6	9	8	10	3	10
101927441	13	16	4	4	5	6	12	12
79180	893	727	560	855	502	507	1070	598
11330	7	6	1	2	2	2	10	1
63036	3	8	4	12	2	2	23	3
105376767	2	11	2	4	1	1	20	4
51032	14	9	5	12	10	6	26	9
842	702	406	467	432	474	436	692	426
23341	730	422	645	616	562	558	648	696
107397391	0	1	0	1	0	0	0	0
79814	25	8	23	9	24	17	2	27
84301	915	904	703	767	582	701	1372	897
6248	147	174	132	123	114	133	236	170
23207	2756	2768	2368	2597	2060	2373	3667	2911
284723	57	31	41	41	29	40	46	27
110806303	2	3	5	3	2	1	4	2
388595	2	1	1	0	0	1	0	0
54751	360	435	535	988	263	370	599	411
440567	563	855	582	568	501	525	702	801
729614	318	135	241	193	236	231	250	391
23013	5067	3660	3731	3491	3175	4055	7625	5266
7709	1496	1417	1123	952	985	1405	1843	1540
149563	0	1	1	0	0	0	2	0
27129	1	1	3	156	1	3	3	1
1187	7	4	1	4	4	3	7	4
1188	7	5	4	10	4	6	8	8
348487	28	108	118	38	46	50	163	65
1969	1543	1067	797	947	649	1004	2632	481
101927479	24	7	5	9	3	5	25	3
128272	187	72	62	138	82	94	115	144
101927546	25	11	12	19	9	12	17	18
79363	273	40	171	218	202	174	154	189
54455	1932	1383	1539	1739	1549	1636	1794	2170
26099	3472	3582	2858	3035	2153	2787	3235	3555
374955	1686	1769	1348	1490	1014	1315	1579	1771
55707	1146	520	713	1018	633	665	765	724
107984921	126	68	49	54	52	74	122	60
114819	494	295	184	198	185	253	488	194
26871	4	11	5	4	3	2	13	5
107985757	0	1	0	0	0	0	0	0
100132147	64	13	5	5	12	13	26	21
107985758	1	1	0	0	0	0	1	1
7195	0	0	1	0	0	0	0	0
55672	1958	1020	1290	2246	1218	1535	1559	1186
105376794	923	1021	371	451	254	371	964	335
84809	571	471	364	322	288	400	567	370
11209	143	102	59	62	71	83	224	60
107985736	8	68	11	7	53	59	140	13
26869	5	13	5	4	3	3	12	7
107985759	0	0	0	0	0	0	0	0
284729	7	2	4	5	6	5	9	7
100189045	0	0	0	0	0	0	0	0
6060	4	11	4	3	3	3	11	6
11223	93	104	42	51	61	92	230	43
100500876	0	0	0	0	0	0	0	0
100189298	0	0	0	0	0	0	0	0
112267871	83	13	6	8	18	8	25	21
7193	5	1	0	1	0	0	1	1
100189183	0	1	0	0	0	0	0	0
105376805	14	27	10	9	8	14	19	19
791226	0	0	0	0	0	0	0	0
26870	4	10	5	3	3	3	12	3
9696	2516	1069	666	1007	617	1169	1514	752
4237	828	433	838	4820	368	722	194	495
105376806	78	55	82	374	29	53	29	45
23400	3323	2680	5307	2902	4511	3796	4766	5015
6390	1109	1088	1269	1041	1088	1030	1160	1730
11240	92	99	135	64	65	117	241	103
105376808	0	0	0	0	0	0	0	0
400743	0	0	0	0	0	0	0	0
29943	0	4	7	2	5	1	5	0
51702	1	1	1	0	1	0	0	1
100616188	0	0	0	0	0	0	0	0
23569	1	3	2	0	1	0	0	0
353238	0	0	0	0	0	0	0	0
55920	5474	3528	3370	3930	2743	3647	3837	4848
55160	1934	1903	1655	1248	1257	1621	2865	1817
107984028	0	0	2	0	0	0	2	0
81569	0	5	0	0	10	0	1	2
105376809	0	0	0	0	0	0	0	0
105376812	0	0	0	0	0	0	1	0
101927876	0	0	0	0	0	0	0	0
84966	95	144	231	127	194	156	334	129
105376814	0	1	0	0	0	0	1	1
127707	1	1	3	5	3	3	0	2
5081	42	571	139	111	34	381	17	170
80834	0	3	0	2	0	1	2	2
8659	532	243	614	470	497	654	280	545
100616120	0	0	0	0	0	0	0	0
100302276	0	0	0	0	0	0	0	0
